Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Vedantu's Series A,https://www.crunchbase.com/funding-round/3a43823b83ed4491d7dc7b9593c0177f,Vedantu,https://www.crunchbase.com/organization/vedantu-innovations,Series A,"$5,000,000",05/07/2015,2,
Niantic Labs' Series A,https://www.crunchbase.com/funding-round/e1985b23379e63f1a9aada1622f0e092,Niantic Labs,https://www.crunchbase.com/organization/nianticlabs-google,Series A,"$20,000,000",10/15/2015,3,
Gamezone's Seed Round,https://www.crunchbase.com/funding-round/f11c114f41281a84655db80b8751fbde,Gamezone,https://www.crunchbase.com/organization/gamezone-2,Seed,"$3,500,000",05/03/2016,4,
Merge Labs' Venture Round,https://www.crunchbase.com/funding-round/9167b4dd4afb065de523cb4681e9de6f,Merge Labs,https://www.crunchbase.com/organization/merge-labs,Series Unknown,"$10,112,801",04/24/2016,1,
ChoreMonster's Seed Round,https://www.crunchbase.com/funding-round/9ebc49637c5c71193d1f287fda16b23e,ChoreMonster,https://www.crunchbase.com/organization/choremonster,Seed,"$355,000",01/05/2012,2,
Shodogg's Convertible Note,https://www.crunchbase.com/funding-round/ad7f935c840bb8dda5fcd91c24a40522,Shodogg,https://www.crunchbase.com/organization/shodogg,Convertible Note,"$380,000",01/23/2013,2,
Viewbix's Series A,https://www.crunchbase.com/funding-round/d1ce645503a551bfa7e893fffaf8365c,Viewbix,https://www.crunchbase.com/organization/viewbix,Series A,"$2,000,000",05/08/2012,2,
Genesis Media's Series A,https://www.crunchbase.com/funding-round/7dc9b731cdc574b46df2168694c542b6,Genesis Media,https://www.crunchbase.com/organization/genesis-media-llc,Series A,"$3,000,000",09/26/2012,2,
CoursePeer's Seed Round,https://www.crunchbase.com/funding-round/4e8da784e0944b5e095bf2c49fe301dc,CoursePeer,https://www.crunchbase.com/organization/coursepeer,Seed,"$60,000",10/01/2012,2,
ChoreMonster's Series A,https://www.crunchbase.com/funding-round/5509d9b81e8653bd01a4e6305fb7dd74,ChoreMonster,https://www.crunchbase.com/organization/choremonster,Series A,"$1,500,000",07/31/2013,2,
Pinnatta's Series A,https://www.crunchbase.com/funding-round/3a87382e1cba66655165238b826c299a,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Series A,"$1,500,000",09/11/2013,2,
Affectv's Series A,https://www.crunchbase.com/funding-round/afda5854b5220815e362c382d6f50e4a,Affectv,https://www.crunchbase.com/organization/affectv,Series A,"£2,000,000",07/23/2013,2,
Altia Systems' Series B,https://www.crunchbase.com/funding-round/69c68baefe150da6ea5819bd931f0db9,Altia Systems,https://www.crunchbase.com/organization/altia-systems,Series B,"$10,500,000",04/08/2014,1,
Pinnatta's Seed Round,https://www.crunchbase.com/funding-round/2242ff3f7c81ffc51196d4acd50c99f5,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Seed,"$100,000",08/01/2012,3,
Revolve Robotics' Seed Round,https://www.crunchbase.com/funding-round/f95cd2a91fa362dd3ba66491ed7c39d4,Revolve Robotics,https://www.crunchbase.com/organization/revolve-robotics,Seed,"$477,500",05/19/2014,3,
Weichaishi.com's Series A,https://www.crunchbase.com/funding-round/0c878c8df0a14267dc4452d1f3679ea4,Weichaishi.com,https://www.crunchbase.com/organization/weichaishi-com,Series A,"$3,200,000",09/15/2014,2,
Reframed.tv's Seed Round,https://www.crunchbase.com/funding-round/760023da72753df86a839aff5517938c,Reframed.tv,https://www.crunchbase.com/organization/reframed-tv,Seed,"£90,000",02/14/2014,3,
Sgrouples(MeWe )'s Seed Round,https://www.crunchbase.com/funding-round/f03ee0e143de728f63875363e0408d20,Sgrouples(MeWe ),https://www.crunchbase.com/organization/sgrouples,Seed,"$1,200,000",09/02/2014,2,
Foodlve's Series A,https://www.crunchbase.com/funding-round/2d824d10f24a4f83d0b9e6a8b97c5a91,Foodlve,https://www.crunchbase.com/organization/foodlve,Series A,"$140,000",01/12/2014,3,
Fountain's Series A,https://www.crunchbase.com/funding-round/e8b149e9a8fc382cb4b2f1da9c71e798,Fountain,https://www.crunchbase.com/organization/fountain,Series A,"$4,000,000",10/23/2014,2,
RotaryView's Seed Round,https://www.crunchbase.com/funding-round/b92d3d643daead90e0e4a5b4d3383867,RotaryView,https://www.crunchbase.com/organization/rotaryview,Seed,,02/01/2013,3,
Atheer's Series B,https://www.crunchbase.com/funding-round/421a7fd81521326fd83a2aefc80e3a77,Atheer,https://www.crunchbase.com/organization/atheer,Series B,"$9,058,298",08/03/2015,1,
S4M's Series A,https://www.crunchbase.com/funding-round/f822279ddc6a48f5b9391de2e96086c7,S4M,https://www.crunchbase.com/organization/s4m,Series A,"$8,000,000",06/04/2015,2,
Baarzo's Convertible Note,https://www.crunchbase.com/funding-round/3efc46c3f977f785ee59125cf566999c,Baarzo,https://www.crunchbase.com/organization/baarzo,Convertible Note,,10/10/2013,3,
Heleo's Venture Round,https://www.crunchbase.com/funding-round/1998a47241462330794db0151c404353,Heleo,https://www.crunchbase.com/organization/heleo,Series Unknown,,05/29/2015,3,
GoPoP (formally known as Zeega)'s Seed Round,https://www.crunchbase.com/funding-round/4bb4277fa8f8afaf16fc50298a3aaf19,GoPoP (formally known as Zeega),https://www.crunchbase.com/organization/zeega,Seed,,01/14/2014,3,
Affectv's Debt Financing,https://www.crunchbase.com/funding-round/0e4474ea13442c4f2dc4d3b1cf1c3465,Affectv,https://www.crunchbase.com/organization/affectv,Debt Financing,"£2,500,000",03/29/2016,1,
Revolve Robotics' Seed Round,https://www.crunchbase.com/funding-round/f249442460e9e0deb456d043c93fba71,Revolve Robotics,https://www.crunchbase.com/organization/revolve-robotics,Seed,"$1,325,000",04/03/2015,3,
ChoreMonster's Seed Round,https://www.crunchbase.com/funding-round/81dbdb93a053dcee9c8221bd23d6795b,ChoreMonster,https://www.crunchbase.com/organization/choremonster,Seed,"$25,000",08/01/2011,1,
